vz,cm,er,ee,ex
50.0,1.5790758751838117,16.623710303522248,8.313368910206062,0.0
50.0,0.4285948672275709,1.4912576414859628,6.7694718957530595,0.0
50.0,0.20453926358303506,0.3436812110633913,6.690907017269365,0.0
50.0,0.21950899328061146,0.3956189990204276,6.694423339410671,0.0
50.0,1.475788904003715,14.923153811594723,8.48452360269475,0.0
50.0,0.29934115459865474,0.733169795752256,6.717366772910081,0.0
50.0,0.5156873978780654,2.1440959297553226,6.8149951180208586,0.0
50.0,1.1053370818834956,9.087199545800935,7.339946559535124,0.0
50.0,0.6914951322058608,3.7872191016103027,6.932328569777489,0.0
50.0,1.796529914135879,20.17739458826669,8.369742615067919,0.0
50.0,0.4032693924086493,1.3225555889869662,6.7578068091559675,0.0
50.0,2.698197092858775,31.380100172703948,9.75180287096043,0.0
50.0,1.7740470058097142,19.815216172679946,8.33156854396654,0.0
50.0,1.0273936055273274,7.9624701684478385,7.249486839016582,0.0
50.0,1.801688125763797,20.260232058162472,8.378522997533139,0.0
50.0,0.4263566822209741,1.4759592387442466,6.768412410950096,0.0
50.0,0.8528533265498615,5.641314678834872,7.06967511897104,0.0
50.0,0.3725383772242486,1.1309163241475222,6.744604381764654,0.0
50.0,1.4463737062010422,14.44111277228164,7.8034556222074425,0.0
50.0,1.4382000269738524,14.307463255223245,7.791173758099541,0.0
50.0,1.1972410930761082,10.470566018799863,7.454352107585038,0.0
50.0,2.8952401056651946,32.47663487590362,9.912007835508861,0.0
50.0,0.0979728238660437,0.07906438282835757,6.673048976685079,0.0
50.0,1.1179180284694994,9.273138174045995,7.355119133776767,0.0
50.0,2.4828393279464955,29.5245613025405,9.492188712951243,0.0
50.0,1.4662878315359118,14.76728706357376,7.833592949344208,0.0
50.0,0.3707128087005069,1.119986632825889,6.74385296737225,0.0
50.0,0.453560029435957,1.6669733536296234,6.781664844504311,0.0
50.0,2.5552323023508547,30.220389870631486,9.587908013607038,0.0
50.0,0.40000053148709924,1.3014870064358026,6.756352822401836,0.0
50.0,0.9875075138609732,7.406515274806401,7.205590988443614,0.0
50.0,0.5655901851099261,2.567511933001856,6.844849201385559,0.0
50.0,0.16765471363324486,0.23116979115709935,6.6833023581992155,0.0
50.0,1.993457307056841,23.25007083748035,8.70824893448328,0.0
50.0,0.9666643962135741,7.1216833735322504,7.183307164829232,0.0
50.0,0.9302618946375785,6.634055339651088,7.145475861921772,0.0
50.0,1.7212139935441944,18.95783102985164,8.242572127338844,0.0
50.0,1.6632064022996802,18.008621585385693,8.173982735328517,0.0
50.0,1.4956221021248948,15.24895940230498,8.451732480521658,0.0
50.0,0.12834831314514025,0.1356129330907133,6.676857221997741,0.0
50.0,1.782016708147271,19.943802485222175,8.345081773375423,0.0
50.0,0.14535471572012157,0.17386434099271686,6.679435717200212,0.0
50.0,2.9974715050594556,32.80347958156427,9.960783549244345,0.0
50.0,0.5189852256807981,2.17098648455612,6.816883362458358,0.0
50.0,1.0839829875819773,8.774295955274738,7.314554474588038,0.0
50.0,2.3364228402687215,27.91265413373868,9.277627912637946,0.0
50.0,1.3286257230685274,12.533401063027375,7.631732069675671,0.0
50.0,0.022918908709058675,0.004329980173983399,6.668022669968164,0.0
50.0,1.4922781853915958,15.193990292323438,8.45726491720333,0.0
50.0,1.3570578942048948,12.99002603963056,7.672143716293489,0.0
50.0,0.07395205449891559,0.04506294815773122,6.670761250774222,0.0
50.0,2.7195701325824286,31.527862172753736,9.773088502752593,0.0
50.0,0.12124745775815687,0.12104036408978414,6.675875420992261,0.0
50.0,1.028859301913931,7.983163655375815,7.251131035576664,0.0
50.0,2.6143165926040446,30.73513328296527,9.659968536133801,0.0
50.0,1.2011656241584574,10.530854451904906,7.459419166463972,0.0
50.0,0.42843616713338634,1.4901704220550402,6.769396589854916,0.0
50.0,0.2275336056692713,0.42494591948650107,6.696410480669107,0.0
50.0,1.6179814261960552,17.26486702431662,8.248838868478357,0.0
50.0,0.6570191102833008,3.432366522713895,6.906648187875637,0.0
50.0,2.781464432461273,31.91678343635558,9.829560697639426,0.0
50.0,0.7965291789751013,4.959477919853846,7.018538314930097,0.0
50.0,2.1569993015692264,25.607958801742324,8.987171777167063,0.0
50.0,1.1086973831158229,9.136749298187125,7.343983693207432,0.0
50.0,1.1600323168952105,9.903700954066135,7.407043352352993,0.0
50.0,1.6895379660468648,18.440325770911794,8.189769414355016,0.0
50.0,0.5875782216274447,2.7651413381060546,6.858873310050437,0.0
50.0,0.4119170145474049,1.3790723124307405,6.761710238681265,0.0
50.0,2.950497867022488,32.67429203019529,9.941447362755264,0.0
50.0,1.9882269325273447,23.171332989908688,8.699233173602648,0.0
50.0,0.7241818826993861,4.137601100200998,6.957873486494136,0.0
50.0,1.0711741549189309,8.588285307954985,7.299542826227654,0.0
50.0,1.4605562953452673,14.673334394452958,7.824888219345291,0.0
50.0,2.791048282709144,31.97175611649955,9.837595533734206,0.0
50.0,2.650964735552635,31.02953311224337,9.701671495012683,0.0
50.0,2.408754008068233,28.741788723669224,9.386768206051201,0.0
50.0,1.3497002265873048,12.871574770388689,7.661619637889623,0.0
50.0,0.27528464129678576,0.6207784750418248,6.709710055318079,0.0
50.0,0.49274145923869034,1.9613287700648991,6.802188942736948,0.0
50.0,2.4246609904298095,28.9156793619769,9.409984250735631,0.0
50.0,2.8215264250418137,32.13710090045809,9.861841781098974,0.0
50.0,1.2758128508850273,11.69397833434338,7.558542542726319,0.0
50.0,0.45002583012989056,1.641534298959158,6.779896904916928,0.0
